CG beads number:   49,  the thread number:   16
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread: 9,  step: 11000,     T: 86.0,    Energy: 142.518585 kcal/mol
thread: 4,  step:  9000,     T: 49.0,    Energy: 142.990723 kcal/mol
thread: 8,  step:  9000,     T: 78.0,    Energy: 138.011368 kcal/mol
thread: 6,  step: 12000,     T: 63.0,    Energy: 143.466812 kcal/mol
thread: 11,  step: 10000,     T:102.0,    Energy: 139.159744 kcal/mol
thread: 12,  step:  9000,     T:110.0,    Energy: 138.981293 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 134.813980 kcal/mol
thread: 5,  step: 11000,     T: 55.0,    Energy: 129.345245 kcal/mol
thread: 7,  step: 11000,     T: 71.0,    Energy: 145.808289 kcal/mol
thread: 3,  step: 11000,     T: 43.0,    Energy: 126.033012 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 136.560562 kcal/mol
thread: 11,  step: 11000,     T:102.0,    Energy: 145.291092 kcal/mol
thread: 6,  step: 13000,     T: 63.0,    Energy: 128.647675 kcal/mol
thread: 2,  step: 10000,     T: 37.0,    Energy: 118.117088 kcal/mol
thread: 14,  step: 11000,     T:130.0,    Energy: 127.735794 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 136.101013 kcal/mol
thread: 13,  step: 10000,     T:120.0,    Energy: 132.551346 kcal/mol
thread: 10,  step: 10000,     T: 94.0,    Energy: 142.922577 kcal/mol
thread: 9,  step: 12000,     T: 86.0,    Energy: 121.795654 kcal/mol
thread: 4,  step: 10000,     T: 49.0,    Energy: 136.953415 kcal/mol
thread: 8,  step: 10000,     T: 78.0,    Energy: 126.794502 kcal/mol
thread: 5,  step: 12000,     T: 55.0,    Energy: 139.092117 kcal/mol
thread: 12,  step: 10000,     T:110.0,    Energy: 123.697144 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 139.503143 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 134.833481 kcal/mol
thread: 11,  step: 12000,     T:102.0,    Energy: 137.282181 kcal/mol
thread: 6,  step: 14000,     T: 63.0,    Energy: 143.368210 kcal/mol
thread: 7,  step: 12000,     T: 71.0,    Energy: 138.897385 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 118.751671 kcal/mol
thread: 5,  step: 13000,     T: 55.0,    Energy: 125.193939 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 136.080841 kcal/mol
thread: 4,  step: 11000,     T: 49.0,    Energy: 132.950485 kcal/mol
thread: 14,  step: 12000,     T:130.0,    Energy: 134.542450 kcal/mol
thread: 13,  step: 11000,     T:120.0,    Energy: 137.080917 kcal/mol
thread: 1,  step: 12000,     T: 31.0,    Energy: 157.881866 kcal/mol
thread: 10,  step: 11000,     T: 94.0,    Energy: 133.075104 kcal/mol
thread: 9,  step: 13000,     T: 86.0,    Energy: 151.256165 kcal/mol
thread: 8,  step: 11000,     T: 78.0,    Energy: 141.876984 kcal/mol
thread: 11,  step: 13000,     T:102.0,    Energy: 126.847397 kcal/mol
thread: 12,  step: 11000,     T:110.0,    Energy: 141.533020 kcal/mol
thread: 6,  step: 15000,     T: 63.0,    Energy: 140.994919 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 126.087234 kcal/mol
thread: 3,  step: 13000,     T: 43.0,    Energy: 121.523514 kcal/mol
thread: 5,  step: 14000,     T: 55.0,    Energy: 125.979744 kcal/mol
thread: 4,  step: 12000,     T: 49.0,    Energy: 151.346436 kcal/mol
thread: 7,  step: 13000,     T: 71.0,    Energy: 121.937294 kcal/mol
thread: 11,  step: 14000,     T:102.0,    Energy: 134.722458 kcal/mol
thread: 15,  step: 13000,     T:  0.0,    Energy: 125.778419 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 139.527100 kcal/mol
thread: 8,  step: 12000,     T: 78.0,    Energy: 150.495514 kcal/mol
thread: 14,  step: 13000,     T:130.0,    Energy: 152.164902 kcal/mol
thread: 13,  step: 12000,     T:120.0,    Energy: 130.637863 kcal/mol
thread: 1,  step: 13000,     T: 31.0,    Energy: 141.161743 kcal/mol
thread: 10,  step: 12000,     T: 94.0,    Energy: 129.336243 kcal/mol
thread: 6,  step: 16000,     T: 63.0,    Energy: 156.206604 kcal/mol
thread: 9,  step: 14000,     T: 86.0,    Energy: 132.405029 kcal/mol
thread: 12,  step: 12000,     T:110.0,    Energy: 131.155762 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 152.494537 kcal/mol
thread: 4,  step: 13000,     T: 49.0,    Energy: 133.953568 kcal/mol
thread: 3,  step: 14000,     T: 43.0,    Energy: 141.671631 kcal/mol
thread: 5,  step: 15000,     T: 55.0,    Energy: 194.897461 kcal/mol
thread: 8,  step: 13000,     T: 78.0,    Energy: 159.184036 kcal/mol
thread: 7,  step: 14000,     T: 71.0,    Energy: 129.118973 kcal/mol
thread: 6,  step: 17000,     T: 63.0,    Energy: 145.265610 kcal/mol
thread: 11,  step: 15000,     T:102.0,    Energy: 134.406219 kcal/mol
thread: 15,  step: 14000,     T:  0.0,    Energy: 148.334915 kcal/mol
thread: 2,  step: 13000,     T: 37.0,    Energy: 128.264893 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 133.893646 kcal/mol
thread: 13,  step: 13000,     T:120.0,    Energy: 146.343277 kcal/mol
thread: 4,  step: 14000,     T: 49.0,    Energy: 129.181366 kcal/mol
thread: 14,  step: 14000,     T:130.0,    Energy: 125.226440 kcal/mol
thread: 1,  step: 14000,     T: 31.0,    Energy: 133.463913 kcal/mol
thread: 10,  step: 13000,     T: 94.0,    Energy: 144.768280 kcal/mol
thread: 9,  step: 15000,     T: 86.0,    Energy: 126.708504 kcal/mol
thread: 12,  step: 13000,     T:110.0,    Energy: 124.961426 kcal/mol
thread: 8,  step: 14000,     T: 78.0,    Energy: 131.271225 kcal/mol
thread: 6,  step: 18000,     T: 63.0,    Energy: 139.375046 kcal/mol
thread: 3,  step: 15000,     T: 43.0,    Energy: 123.987289 kcal/mol
thread: 5,  step: 16000,     T: 55.0,    Energy: 157.061279 kcal/mol
thread: 0,  step: 15000,     T: 25.0,    Energy: 146.100220 kcal/mol
thread: 4,  step: 15000,     T: 49.0,    Energy: 128.252686 kcal/mol
thread: 7,  step: 15000,     T: 71.0,    Energy: 129.145050 kcal/mol
thread: 11,  step: 16000,     T:102.0,    Energy: 144.557129 kcal/mol
thread: 15,  step: 15000,     T:  0.0,    Energy: 128.404037 kcal/mol
thread: 2,  step: 14000,     T: 37.0,    Energy: 147.043137 kcal/mol
thread: 13,  step: 14000,     T:120.0,    Energy: 141.691910 kcal/mol
thread: 1,  step: 15000,     T: 31.0,    Energy: 140.362000 kcal/mol
thread: 14,  step: 15000,     T:130.0,    Energy: 126.848732 kcal/mol
thread: 8,  step: 15000,     T: 78.0,    Energy: 158.315292 kcal/mol
thread: 10,  step: 14000,     T: 94.0,    Energy: 138.690826 kcal/mol
thread: 9,  step: 16000,     T: 86.0,    Energy: 106.222443 kcal/mol
thread: 6,  step: 19000,     T: 63.0,    Energy: 167.825500 kcal/mol
thread: 12,  step: 14000,     T:110.0,    Energy: 142.911438 kcal/mol
thread: 4,  step: 16000,     T: 49.0,    Energy: 147.963638 kcal/mol
thread: 11,  step: 17000,     T:102.0,    Energy: 144.875977 kcal/mol
thread: 0,  step: 16000,     T: 25.0,    Energy: 150.556686 kcal/mol
thread: 3,  step: 16000,     T: 43.0,    Energy: 127.639824 kcal/mol
thread: 5,  step: 17000,     T: 55.0,    Energy: 127.574478 kcal/mol
thread: 8,  step: 16000,     T: 78.0,    Energy: 138.319565 kcal/mol
thread: 7,  step: 16000,     T: 71.0,    Energy: 120.244492 kcal/mol
thread: 6,  step: 20000,     T: 63.0,    Energy: 138.814056 kcal/mol
thread: 15,  step: 16000,     T:  0.0,    Energy: 143.961060 kcal/mol
thread: 2,  step: 15000,     T: 37.0,    Energy: 141.819305 kcal/mol
thread: 13,  step: 15000,     T:120.0,    Energy: 128.222855 kcal/mol
thread: 1,  step: 16000,     T: 31.0,    Energy: 135.968597 kcal/mol
thread: 14,  step: 16000,     T:130.0,    Energy: 116.879524 kcal/mol
thread: 10,  step: 15000,     T: 94.0,    Energy: 144.191055 kcal/mol
thread: 4,  step: 17000,     T: 49.0,    Energy: 134.013718 kcal/mol
thread: 9,  step: 17000,     T: 86.0,    Energy: 120.858292 kcal/mol
thread: 12,  step: 15000,     T:110.0,    Energy: 137.564743 kcal/mol
thread: 5,  step: 18000,     T: 55.0,    Energy: 133.710678 kcal/mol
thread: 8,  step: 17000,     T: 78.0,    Energy: 139.881332 kcal/mol
thread: 11,  step: 18000,     T:102.0,    Energy: 153.102722 kcal/mol
thread: 0,  step: 17000,     T: 25.0,    Energy: 142.195801 kcal/mol
thread: 6,  step: 21000,     T: 63.0,    Energy: 122.226997 kcal/mol
thread: 3,  step: 17000,     T: 43.0,    Energy: 130.982498 kcal/mol
thread: 7,  step: 17000,     T: 71.0,    Energy: 135.223663 kcal/mol
thread: 4,  step: 18000,     T: 49.0,    Energy: 195.410492 kcal/mol
thread: 15,  step: 17000,     T:  0.0,    Energy: 146.452728 kcal/mol
thread: 13,  step: 16000,     T:120.0,    Energy: 137.362671 kcal/mol
thread: 2,  step: 16000,     T: 37.0,    Energy: 131.386292 kcal/mol
thread: 5,  step: 19000,     T: 55.0,    Energy: 158.056885 kcal/mol
thread: 1,  step: 17000,     T: 31.0,    Energy: 118.337372 kcal/mol
thread: 14,  step: 17000,     T:130.0,    Energy: 142.297791 kcal/mol
thread: 10,  step: 16000,     T: 94.0,    Energy: 147.340820 kcal/mol
thread: 8,  step: 18000,     T: 78.0,    Energy: 152.592865 kcal/mol
thread: 9,  step: 18000,     T: 86.0,    Energy: 130.187531 kcal/mol
thread: 12,  step: 16000,     T:110.0,    Energy: 140.363480 kcal/mol
thread: 6,  step: 22000,     T: 63.0,    Energy: 178.095169 kcal/mol
thread: 4,  step: 19000,     T: 49.0,    Energy: 129.011261 kcal/mol
thread: 0,  step: 18000,     T: 25.0,    Energy: 128.216843 kcal/mol
thread: 11,  step: 19000,     T:102.0,    Energy: 169.885803 kcal/mol
thread: 3,  step: 18000,     T: 43.0,    Energy: 126.617531 kcal/mol
thread: 5,  step: 20000,     T: 55.0,    Energy: 141.513000 kcal/mol
thread: 7,  step: 18000,     T: 71.0,    Energy: 142.607712 kcal/mol
thread: 8,  step: 19000,     T: 78.0,    Energy: 145.279800 kcal/mol
thread: 6,  step: 23000,     T: 63.0,    Energy: 148.380600 kcal/mol
thread: 15,  step: 18000,     T:  0.0,    Energy: 143.587433 kcal/mol
thread: 13,  step: 17000,     T:120.0,    Energy: 150.055008 kcal/mol
thread: 2,  step: 17000,     T: 37.0,    Energy: 148.103455 kcal/mol
thread: 1,  step: 18000,     T: 31.0,    Energy: 145.302338 kcal/mol
thread: 14,  step: 18000,     T:130.0,    Energy: 145.890762 kcal/mol
thread: 10,  step: 17000,     T: 94.0,    Energy: 165.448074 kcal/mol
thread: 9,  step: 19000,     T: 86.0,    Energy: 130.631851 kcal/mol
thread: 12,  step: 17000,     T:110.0,    Energy: 121.120926 kcal/mol
thread: 4,  step: 20000,     T: 49.0,    Energy: 112.570496 kcal/mol
thread: 5,  step: 21000,     T: 55.0,    Energy: 144.234421 kcal/mol
thread: 8,  step: 20000,     T: 78.0,    Energy: 192.900360 kcal/mol
thread: 0,  step: 19000,     T: 25.0,    Energy: 135.449600 kcal/mol
thread: 11,  step: 20000,     T:102.0,    Energy: 155.346573 kcal/mol
thread: 6,  step: 24000,     T: 63.0,    Energy: 138.686478 kcal/mol
thread: 3,  step: 19000,     T: 43.0,    Energy: 123.553642 kcal/mol
thread: 7,  step: 19000,     T: 71.0,    Energy: 128.728867 kcal/mol
thread: 4,  step: 21000,     T: 49.0,    Energy: 146.181305 kcal/mol
thread: 10,  step: 18000,     T: 94.0,    Energy: 146.481339 kcal/mol
thread: 13,  step: 18000,     T:120.0,    Energy: 123.037102 kcal/mol
thread: 15,  step: 19000,     T:  0.0,    Energy: 130.824646 kcal/mol
thread: 2,  step: 18000,     T: 37.0,    Energy: 147.086273 kcal/mol
thread: 1,  step: 19000,     T: 31.0,    Energy: 156.241745 kcal/mol
thread: 14,  step: 19000,     T:130.0,    Energy: 134.336624 kcal/mol
thread: 9,  step: 20000,     T: 86.0,    Energy: 150.758606 kcal/mol
thread: 8,  step: 21000,     T: 78.0,    Energy: 137.776123 kcal/mol
thread: 12,  step: 18000,     T:110.0,    Energy: 118.891937 kcal/mol
thread: 5,  step: 22000,     T: 55.0,    Energy: 122.602013 kcal/mol
thread: 6,  step: 25000,     T: 63.0,    Energy: 121.004349 kcal/mol
thread: 0,  step: 20000,     T: 25.0,    Energy: 135.465134 kcal/mol
thread: 11,  step: 21000,     T:102.0,    Energy: 148.422516 kcal/mol
thread: 4,  step: 22000,     T: 49.0,    Energy: 128.610657 kcal/mol
thread: 3,  step: 20000,     T: 43.0,    Energy: 135.753510 kcal/mol
thread: 10,  step: 19000,     T: 94.0,    Energy: 136.709976 kcal/mol
thread: 7,  step: 20000,     T: 71.0,    Energy: 134.567886 kcal/mol
thread: 8,  step: 22000,     T: 78.0,    Energy: 162.199265 kcal/mol
thread: 6,  step: 26000,     T: 63.0,    Energy: 139.583160 kcal/mol
thread: 13,  step: 19000,     T:120.0,    Energy: 138.240189 kcal/mol
thread: 15,  step: 20000,     T:  0.0,    Energy: 125.206711 kcal/mol
thread: 2,  step: 19000,     T: 37.0,    Energy: 128.125732 kcal/mol
thread: 1,  step: 20000,     T: 31.0,    Energy: 150.063568 kcal/mol
thread: 14,  step: 20000,     T:130.0,    Energy: 127.009941 kcal/mol
thread: 9,  step: 21000,     T: 86.0,    Energy: 155.261322 kcal/mol
thread: 12,  step: 19000,     T:110.0,    Energy: 121.999336 kcal/mol
thread: 4,  step: 23000,     T: 49.0,    Energy: 154.083145 kcal/mol
thread: 5,  step: 23000,     T: 55.0,    Energy: 125.488914 kcal/mol
thread: 10,  step: 20000,     T: 94.0,    Energy: 138.422180 kcal/mol
thread: 0,  step: 21000,     T: 25.0,    Energy: 138.215302 kcal/mol
thread: 8,  step: 23000,     T: 78.0,    Energy: 121.319275 kcal/mol
thread: 11,  step: 22000,     T:102.0,    Energy: 149.807510 kcal/mol
thread: 3,  step: 21000,     T: 43.0,    Energy: 144.729736 kcal/mol
thread: 6,  step: 27000,     T: 63.0,    Energy: 136.751694 kcal/mol
thread: 7,  step: 21000,     T: 71.0,    Energy: 140.110092 kcal/mol
thread: 4,  step: 24000,     T: 49.0,    Energy: 147.400589 kcal/mol
